Season,Day,Hour,Count
2015,Mon,17:00,6487
2015,Mon,18:00,5607
2015,Mon,19:00,4306
2015,Mon,20:00,3142
2015,Mon,21:00,1994
2015,Mon,22:00,1213
2015,Mon,23:00,707
2015,Tue,0:00,373
2015,Tue,1:00,207
2015,Tue,2:00,139
2015,Tue,3:00,81
2015,Tue,4:00,119
2015,Tue,5:00,393
2015,Tue,6:00,1014
2015,Tue,7:00,3102
2015,Tue,8:00,3936
2015,Tue,9:00,2860
2015,Tue,10:00,2331
2015,Tue,11:00,3161
2015,Tue,12:00,3978
2015,Tue,13:00,3695
2015,Tue,14:00,3485
2015,Tue,15:00,3834
2015,Tue,16:00,5594
2015,Tue,17:00,6886
2015,Tue,18:00,5855
2015,Tue,19:00,4435
2015,Tue,20:00,3318
2015,Tue,21:00,2201
2015,Tue,22:00,1502
2015,Tue,23:00,827
2015,Wed,0:00,427
2015,Wed,1:00,253
2015,Wed,2:00,146
2015,Wed,3:00,51
2015,Wed,4:00,110
2015,Wed,5:00,371
2015,Wed,6:00,1072
2015,Wed,7:00,3124
2015,Wed,8:00,4004
2015,Wed,9:00,2750
2015,Wed,10:00,2521
2015,Wed,11:00,3335
2015,Wed,12:00,4153
2015,Wed,13:00,3573
2015,Wed,14:00,3505
2015,Wed,15:00,3813
2015,Wed,16:00,5484
2015,Wed,17:00,6944
2015,Wed,18:00,5671
2015,Wed,19:00,4716
2015,Wed,20:00,3335
2015,Wed,21:00,2254
2015,Wed,22:00,1560
2015,Wed,23:00,872
2015,Thu,0:00,522
2015,Thu,1:00,301
2015,Thu,2:00,180
2015,Thu,3:00,91
2015,Thu,4:00,106
2015,Thu,5:00,359
2015,Thu,6:00,947
2015,Thu,7:00,2793
2015,Thu,8:00,3648
2015,Thu,9:00,2743
2015,Thu,10:00,2421
2015,Thu,11:00,3281
2015,Thu,12:00,3927
2015,Thu,13:00,3577
2015,Thu,14:00,3440
2015,Thu,15:00,3816
2015,Thu,16:00,5346
2015,Thu,17:00,6298
2015,Thu,18:00,5529
2015,Thu,19:00,4189
2015,Thu,20:00,3209
2015,Thu,21:00,2287
2015,Thu,22:00,1591
2015,Thu,23:00,1123
2015,Fri,0:00,653
2015,Fri,1:00,397
2015,Fri,2:00,266
2015,Fri,3:00,103
2015,Fri,4:00,132
2015,Fri,5:00,324
2015,Fri,6:00,931
2015,Fri,7:00,2697
2015,Fri,8:00,3675
2015,Fri,9:00,2947
2015,Fri,10:00,2950
2015,Fri,11:00,4118
2015,Fri,12:00,4797
2015,Fri,13:00,4670
2015,Fri,14:00,4577
2015,Fri,15:00,5033
2015,Fri,16:00,6084
2015,Fri,17:00,6203
2015,Fri,18:00,5445
2015,Fri,19:00,4367
2015,Fri,20:00,3581
2015,Fri,21:00,2630
2015,Fri,22:00,2154
2015,Fri,23:00,1547
2015,Sat,0:00,1089
2015,Sat,1:00,853
2015,Sat,2:00,783
2015,Sat,3:00,276
2015,Sat,4:00,111
2015,Sat,5:00,155
2015,Sat,6:00,410
2015,Sat,7:00,765
2015,Sat,8:00,1568
2015,Sat,9:00,3155
2015,Sat,10:00,4696
2015,Sat,11:00,6638
2015,Sat,12:00,7703
2015,Sat,13:00,8532
2015,Sat,14:00,8540
2015,Sat,15:00,8491
2015,Sat,16:00,7938
2015,Sat,17:00,7289
2015,Sat,18:00,6407
2015,Sat,19:00,5203
2015,Sat,20:00,4333
2015,Sat,21:00,3433
2015,Sat,22:00,2969
2015,Sat,23:00,2212
2015,Sun,0:00,1536
2015,Sun,1:00,1386
2015,Sun,2:00,1172
2015,Sun,3:00,381
2015,Sun,4:00,191
2015,Sun,5:00,175
2015,Sun,6:00,344
2015,Sun,7:00,574
2015,Sun,8:00,1215
2015,Sun,9:00,2310
2015,Sun,10:00,3944
2015,Sun,11:00,5304
2015,Sun,12:00,6074
2015,Sun,13:00,6503
2015,Sun,14:00,6523
2015,Sun,15:00,6825
2015,Sun,16:00,5824
2015,Sun,17:00,5092
2015,Sun,18:00,4424
2015,Sun,19:00,3579
2015,Sun,20:00,2671
2015,Sun,21:00,1740
2015,Sun,22:00,1073
2015,Sun,23:00,653
2016,Mon,0:00,356
2016,Mon,1:00,234
2016,Mon,2:00,165
2016,Mon,3:00,80
2016,Mon,4:00,85
2016,Mon,5:00,285
2016,Mon,6:00,876
2016,Mon,7:00,2786
2016,Mon,8:00,3429
2016,Mon,9:00,2859
2016,Mon,10:00,2537
2016,Mon,11:00,3596
2016,Mon,12:00,4332
2016,Mon,13:00,3767
2016,Mon,14:00,3688
2016,Mon,15:00,4146
2016,Mon,16:00,5554
